Date,Electric_usage,Avg_Temp
1/1/2020,0.97,57
1/2/2020,1.07,61
1/3/2020,1.18,66
1/4/2020,1.01,71
1/5/2020,1.33,74
1/6/2020,1.37,75
1/7/2020,1.31,68
1/8/2020,0.99,71
1/9/2020,1.72,78
1/10/2020,4.22,78
1/11/2020,1.57,59
1/12/2020,3.86,63
1/13/2020,5.58,61
1/14/2020,4.09,76
1/15/2020,4.52,82
1/16/2020,4.51,70
1/17/2020,4.65,61
1/18/2020,3.76,69
1/19/2020,4.33,58
1/20/2020,3.88,61
1/21/2020,3.45,62
1/22/2020,3.59,59
1/23/2020,3.51,66
1/24/2020,3.52,67
1/25/2020,4.75,66
1/26/2020,6.09,77
1/27/2020,3.53,69
1/28/2020,3.45,73
1/29/2020,3.7,62
1/30/2020,3.56,50
1/31/2020,3.8,61
2/1/2020,2.6,74
2/2/2020,3.69,77
2/3/2020,3.64,73
2/4/2020,2.44,77
2/5/2020,5.01,46
2/6/2020,3.23,55
2/7/2020,4.01,75
2/8/2020,3.42,69
2/9/2020,5.81,74
2/10/2020,3.92,72
2/11/2020,3.52,48
2/12/2020,3.54,58
2/13/2020,2.94,53
2/14/2020,3.43,58
2/15/2020,3.71,65
2/16/2020,3.97,76
2/17/2020,5.28,79
2/18/2020,5.37,73
2/19/2020,3.33,51
2/20/2020,3.5,51
2/21/2020,3.68,53
2/22/2020,2.11,63
2/23/2020,3.94,70
2/24/2020,3.72,70
2/25/2020,3.35,67
2/26/2020,3.74,54
2/27/2020,3.78,63
2/28/2020,4.09,73
2/29/2020,4.49,74
3/1/2020,7.97,77
3/2/2020,8.8,77
3/3/2020,4.42,75
3/4/2020,4.25,68
3/5/2020,4.05,74
3/6/2020,6.26,69
3/7/2020,3.92,63
3/8/2020,4.33,76
3/9/2020,6.38,69
3/10/2020,8.27,80
3/11/2020,10.22,83
3/12/2020,15.73,86
3/13/2020,13.18,83
3/14/2020,9.59,83
3/15/2020,5.72,71
3/16/2020,8.12,74
3/17/2020,9.97,80
3/18/2020,8.05,82
3/19/2020,12.05,81
3/20/2020,4.54,73
3/21/2020,5.73,55
3/22/2020,3.97,68
3/23/2020,7.4,82
3/24/2020,9.56,91
3/25/2020,9.77,88
3/26/2020,10.06,87
3/27/2020,8.71,88
3/28/2020,6.55,78
3/29/2020,6.52,79
3/30/2020,5.24,72
3/31/2020,5.96,71
4/1/2020,5.68,77
4/2/2020,3.52,72
4/3/2020,5.61,74
4/4/2020,4.69,53
4/5/2020,5.07,67
4/6/2020,5.11,78
4/7/2020,10.33,86
4/8/2020,14.11,89
4/9/2020,11.5,91
4/10/2020,9.93,74
4/11/2020,6.88,78
4/12/2020,9.95,86
4/13/2020,3.8,63
4/14/2020,4.04,64
4/15/2020,4.07,68
4/16/2020,6.1,77
4/17/2020,6.61,73
4/18/2020,5.11,61
4/19/2020,8.6,94
4/20/2020,9.97,87
4/21/2020,13.94,86
4/22/2020,12.44,81
4/23/2020,12.23,87
4/24/2020,13.37,95
4/25/2020,11.14,81
4/26/2020,8.89,85
4/27/2020,11.7,88
4/28/2020,13.33,91
4/29/2020,10.27,84
4/30/2020,9.59,85
5/1/2020,12.14,87
5/2/2020,12.98,90
5/3/2020,15.44,93
5/4/2020,13.56,95
5/5/2020,13,84
5/6/2020,10.06,85
5/7/2020,10.93,83
5/8/2020,11.75,86
5/9/2020,10.01,77
5/10/2020,9.75,81
5/11/2020,9.43,84
5/12/2020,9.53,74
5/13/2020,11.14,87
5/14/2020,12.31,91
5/15/2020,13.27,92
5/16/2020,8.79,82
5/17/2020,9.49,91
5/18/2020,14.4,93
5/19/2020,15.81,94
5/20/2020,16.21,94
5/21/2020,13,91
5/22/2020,18.72,94
5/23/2020,18.1,92
5/24/2020,11.89,92
5/25/2020,9.67,77
5/26/2020,9.14,85
5/27/2020,9.86,91
5/28/2020,9.81,87
5/29/2020,11.06,88
5/30/2020,10.88,87
5/31/2020,10.94,84
6/1/2020,10.52,83
6/2/2020,12.15,89
6/3/2020,15.08,91
6/4/2020,14.85,91
6/5/2020,14.53,93
6/6/2020,15.8,94
6/7/2020,17.98,94
6/8/2020,16.15,97
6/9/2020,19.98,98
6/10/2020,14.24,91
6/11/2020,12.51,94
6/12/2020,12.78,92
6/13/2020,16.65,92
6/14/2020,11.73,92
6/15/2020,14.2,94
6/16/2020,13.94,92
6/17/2020,12.04,93
6/18/2020,11.44,94
6/19/2020,14.2,93
6/20/2020,8.7,93
6/21/2020,13.63,95
6/22/2020,11.51,92
6/23/2020,11.38,92
6/24/2020,8.55,84
6/25/2020,13.79,92
6/26/2020,9.05,85
6/27/2020,10.06,91
6/28/2020,12.13,87
6/29/2020,9.72,90
6/30/2020,13.03,92
7/1/2020,13.15,93
7/2/2020,16.33,95
7/3/2020,15.21,95
7/4/2020,12.76,97
7/5/2020,16.16,97
7/6/2020,11.99,93
7/7/2020,15.79,96
7/8/2020,15.97,96
7/9/2020,16.76,98
7/10/2020,17.01,99
7/11/2020,21.62,99
7/12/2020,17.21,101
7/13/2020,18.63,104
7/14/2020,14.94,102
7/15/2020,16.27,99
7/16/2020,15.9,99
7/17/2020,17.98,100
7/18/2020,9.34,95
7/19/2020,15.59,97
7/20/2020,15.5,98
7/21/2020,14.9,93
7/22/2020,12.83,96
7/23/2020,18.42,99
7/24/2020,16.6,98
7/25/2020,5.42,93
7/26/2020,3.49,93
7/27/2020,5.9,96
7/28/2020,6.61,97
7/29/2020,5.57,96
7/30/2020,6.91,97
7/31/2020,5.4,98
8/1/2020,4.98,96
8/2/2020,5.22,97
8/3/2020,8.89,99
8/4/2020,16.43,99
8/5/2020,15.92,100
8/6/2020,12.44,100
8/7/2020,13.39,99
8/8/2020,12.89,99
8/9/2020,16.02,100
8/10/2020,15.55,100
8/11/2020,15.74,101
8/12/2020,13.13,102
8/13/2020,15.41,102
8/14/2020,13.61,105
8/15/2020,18.47,104
8/16/2020,15.95,104
8/17/2020,12.94,98
8/18/2020,12.18,102
8/19/2020,13.46,101
8/20/2020,12.22,99
8/21/2020,14.12,101
8/22/2020,5.83,90
8/23/2020,10.39,96
8/24/2020,12.8,97
8/25/2020,13.41,98
8/26/2020,13.11,93
8/27/2020,14.95,99
8/28/2020,14.9,104
8/29/2020,14.22,102
8/30/2020,14.45,101
8/31/2020,14.39,100
9/1/2020,15.04,101
9/2/2020,8.89,86
9/3/2020,8.42,92
9/4/2020,4.62,83
9/5/2020,9.32,91
9/6/2020,8.97,94
9/7/2020,10.9,94
9/8/2020,8.56,88
9/9/2020,5.7,82
9/10/2020,3.7,68
9/11/2020,3.82,84
9/12/2020,4.9,92
9/13/2020,12.47,93
9/14/2020,8.51,90
9/15/2020,11.93,91
9/16/2020,7.02,92
9/17/2020,8.75,86
9/18/2020,10.48,88
9/19/2020,6.47,84
9/20/2020,7.07,85
9/21/2020,5.27,73
9/22/2020,4.87,75
9/23/2020,5.45,76
9/24/2020,7.06,79
9/25/2020,7.25,86
9/26/2020,9,89
9/27/2020,10.08,92
9/28/2020,4.6,81
9/29/2020,4.1,83
9/30/2020,3.96,87
10/1/2020,4.21,91
10/2/2020,5.57,83
10/3/2020,7.72,86
10/4/2020,6.74,87
10/5/2020,6.54,86
10/6/2020,6.68,88
10/7/2020,4.39,90
10/8/2020,5.21,87
10/9/2020,7.9,88
10/10/2020,6.14,95
10/11/2020,9.71,96
10/12/2020,6.97,87
10/13/2020,5.63,88
10/14/2020,6.9,91
10/15/2020,7.73,87
10/16/2020,4.78,77
10/17/2020,2.56,81
10/18/2020,7.56,91
10/19/2020,6.77,92
10/20/2020,8.52,91
10/21/2020,8.38,90
10/22/2020,9.18,90
10/23/2020,4.37,84
10/24/2020,2.16,66
10/25/2020,3.21,85
10/26/2020,3.64,79
10/27/2020,2.59,45
10/28/2020,2.98,62
10/29/2020,2.33,64
10/30/2020,3,72
10/31/2020,2.84,78
11/1/2020,1.21,79
11/2/2020,1.34,77
11/3/2020,1.09,80
11/4/2020,1.31,81
11/5/2020,1.27,81
11/6/2020,1.47,79
11/7/2020,1.4,81
11/8/2020,1.64,83
11/9/2020,3.11,85
11/10/2020,2.54,82
11/11/2020,5.43,83
11/12/2020,5.95,84
11/13/2020,4.17,84
11/14/2020,10.79,88
11/15/2020,4.69,73
11/16/2020,2.34,76
11/17/2020,3.27,76
11/18/2020,3.16,80
11/19/2020,3.18,83
11/20/2020,5.42,83
11/21/2020,2.23,80
11/22/2020,3.72,82
11/23/2020,3.04,68
11/24/2020,5.32,85
11/25/2020,2.65,73
11/26/2020,1.93,77
11/27/2020,3.53,71
11/28/2020,2.55,61
11/29/2020,3.75,57
11/30/2020,4.07,57
12/1/2020,2.89,64
12/2/2020,0.93,66
12/3/2020,0.85,58
12/4/2020,0.96,59
12/5/2020,0.79,54
12/6/2020,2.82,67
12/7/2020,3.24,71
12/8/2020,2.44,79
12/9/2020,3.37,82
12/10/2020,3.68,80
12/11/2020,3.32,77
12/12/2020,5.67,63
12/13/2020,3.64,68
12/14/2020,2.28,51
12/15/2020,3.74,61
12/16/2020,3.12,55
12/17/2020,3.93,64
12/18/2020,3.57,65
12/19/2020,1.95,68
12/20/2020,4.22,70
12/21/2020,1.24,76
12/22/2020,0.99,74
12/23/2020,1.34,79
12/24/2020,0.94,57
12/25/2020,1,69
12/26/2020,0.89,70
12/27/2020,0.99,77
12/28/2020,1.3,77
12/29/2020,1.23,77
12/30/2020,1.37,73
12/31/2020,0.85,45
